City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
213,Asau,RO,46.4333,26.4,47.95,77,99,1.41,overcast clouds,2022-05-02 04:38:45
214,San Policarpo,PH,12.1791,125.5072,83.66,73,84,9.69,broken clouds,2022-05-02 04:38:46
215,Irtyshskiy,RU,58.3333,68.1333,34.84,85,100,14.97,overcast clouds,2022-05-02 04:38:46
216,Waipawa,NZ,-41.4122,175.5153,59.67,75,85,11.43,overcast clouds,2022-05-02 04:38:46
217,Grootfontein,NA,-19.5667,18.1167,47.77,93,19,2.3,few clouds,2022-05-02 04:38:47
218,Beneditinos,BR,-5.45,-42.3667,75.27,82,99,2.39,overcast clouds,2022-05-02 04:38:47
219,Iqaluit,CA,63.7506,-68.5145,20.93,85,75,5.75,broken clouds,2022-05-02 04:38:48
220,Oskemen,KZ,49.9565,82.6119,75.16,22,75,11.18,broken clouds,2022-05-02 04:38:48
221,Mogoytuy,RU,51.2833,114.9167,71.31,24,98,21.32,overcast clouds,2022-05-02 04:38:49
222,Boston,US,42.3584,-71.0598,53.17,56,20,6.91,few clouds,2022-05-02 04:38:04
223,Altay,CN,47.8667,88.1167,68.49,25,98,10.76,overcast clouds,2022-05-02 04:38:49
224,Kingaroy,AU,-26.5333,151.8333,69.84,64,100,9.22,overcast clouds,2022-05-02 04:38:50
225,Mwinilunga,ZM,-11.7358,24.4293,54.63,80,7,6.42,clear sky,2022-05-02 04:38:50
226,Saskylakh,RU,71.9167,114.0833,21.85,87,34,9.22,scattered clouds,2022-05-02 04:36:55
227,Poum,NC,-20.2333,164.0167,79.09,77,30,6.53,scattered clouds,2022-05-02 04:38:51
228,Kibala,TD,9.1104,18.3463,80.24,59,100,6.42,overcast clouds,2022-05-02 04:38:51
229,Ahipara,NZ,-35.1667,173.1667,64.87,71,100,4.09,overcast clouds,2022-05-02 04:38:51
230,Klaksvik,FO,62.2266,-6.589,38.32,69,59,19.8,broken clouds,2022-05-02 04:38:52
231,La Asuncion,VE,11.0333,-63.8628,78.53,94,67,13.8,broken clouds,2022-05-02 04:38:52
232,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,41,0,12.66,clear sky,2022-05-02 04:38:53
233,Makat,KZ,47.6469,53.3463,55.36,41,18,14.85,few clouds,2022-05-02 04:38:53
234,Corlu,TR,41.1592,27.8,49.98,87,0,14.97,clear sky,2022-05-02 04:38:54
235,Victoria,HK,22.2855,114.1577,68.32,82,100,5.99,overcast clouds,2022-05-02 04:35:08
236,Bom Jardim,BR,-7.7958,-35.5872,69.42,97,53,3.33,broken clouds,2022-05-02 04:38:54
