City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Cockburn Town,TC,2022-05-02 03:46:31,21.4612,-71.1419,77.41,81,94,22.46
261,Bathsheba,BB,2022-05-02 03:46:35,13.2167,-59.5167,79.41,89,75,14.97
262,Hofn,IS,2022-05-02 03:46:35,64.2539,-15.2082,31.82,79,100,8.39
263,Svetlogorsk,BY,2022-05-02 03:46:36,52.6333,29.7333,46.89,92,100,5.59
264,Saint Anthony,US,2022-05-02 03:46:36,45.0205,-93.218,43.25,86,100,13.8
265,Griffith,US,2022-05-02 03:46:36,41.5284,-87.4237,51.15,76,100,6.91
266,Grobina,LV,2022-05-02 03:46:37,56.5352,21.1678,28.18,100,100,0.0
267,Bang Saphan,TH,2022-05-02 03:46:37,11.2126,99.5117,89.31,60,98,3.09
268,Tigre,AR,2022-05-02 03:46:38,-34.426,-58.5796,55.35,69,0,5.75
269,Kandrian,PG,2022-05-02 03:46:38,-6.2167,149.55,84.27,74,20,6.04
270,Kaseda,JP,2022-05-02 03:46:39,31.4167,130.3167,63.45,46,100,11.45
271,Ornskoldsvik,SE,2022-05-02 03:46:39,63.2909,18.7153,41.95,75,100,9.22
272,Edd,ER,2022-05-02 03:46:39,13.9297,41.6925,89.15,48,87,7.47
273,Colac,AU,2022-05-02 03:46:40,-38.3333,143.5833,66.16,59,100,9.82
274,Karratha,AU,2022-05-02 03:46:40,-20.7377,116.8463,90.07,36,53,15.82
275,Lethem,GY,2022-05-02 03:46:41,3.3803,-59.7968,77.4,72,22,8.37
276,College,US,2022-05-02 03:42:56,64.8569,-147.8028,53.55,36,75,6.91
277,Asfi,MA,2022-05-02 03:46:41,32.2994,-9.2372,60.26,89,1,12.8
278,Kralendijk,BQ,2022-05-02 03:46:42,12.15,-68.2667,80.58,83,20,19.57
279,Victoria,HK,2022-05-02 03:45:03,22.2855,114.1577,68.05,84,100,4.0
280,Avera,US,2022-05-02 03:46:42,33.194,-82.5271,71.11,86,38,5.12
281,Bonthe,SL,2022-05-02 03:46:43,7.5264,-12.505,80.06,85,55,4.05
